³¯Â¥,ÀüÃ¼,³²Ãµµ¿ 20-24,³²Ãµµ¿ 24-3,³²Ãµµ¿ 78-1,±¤¾Èµ¿ 201-20(1),³²Ãµµ¿ 222-2,³²Ãµµ¿ 549,³²Ãµµ¿ 17-1,³²Ãµµ¿ 12-1,¹Î¶ôµ¿ 176-33(1),³²Ãµµ¿ 148-73,³²Ãµµ¿ 3-57,³²Ãµµ¿ 6-12,³²Ãµµ¿ 148-12,±¤¾Èµ¿ 153-42,±¤¾Èµ¿ 144-54,¹Î¶ôµ¿ 185-5,±¤¾Èµ¿ 191-18,±¤¾Èµ¿ 163-5,±¤¾Èµ¿ 167-19,±¤¾Èµ¿ 178-31,±¤¾Èµ¿ 182-13,³²Ãµµ¿ 26-21,³²Ãµµ¿ 3-29,±¤¾Èµ¿ 204-1,±¤¾Èµ¿ 200-8,±¤¾Èµ¿ 197-7,±¤¾Èµ¿ 197-1,±¤¾Èµ¿ 196-5,±¤¾Èµ¿ 193-4(1),±¤¾Èµ¿ 201-20(2),±¤¾Èµ¿ 193-4(2),¹Î¶ôµ¿ 171-15,¹Î¶ôµ¿ 175-16,¹Î¶ôµ¿ 178-12,¹Î¶ôµ¿ 205-8,¹Î¶ôµ¿ 176-33(2),¹Î¶ôµ¿ 18-14,¹Î¶ôµ¿ 33-5,¹Î¶ôµ¿ 192-4,¹Î¶ôµ¿ 745-3,¹Î¶ôµ¿ 110-75,¹Î¶ôµ¿ 110-28,¹Î¶ôµ¿ 113-33,¹Î¶ô¼öº¯°ø¿ø(1),¹Î¶ôµ¿ 110-88,¹Î¶ô¼öº¯°ø¿ø(2),¹Î¶ôµ¿ 110-17,¹Î¶ôµ¿ 181-201,¹Î¶ôµ¿ 181-87,¹Î¶ôµ¿ 113-45
2025-08-01,179310,5668,2476,1557,16319,2213,7371,9360,2400,15359,4318,9635,5624,6884,10641,5380,11297,9060,2259,1725,1662,3806,7666,9961,5556,6287,8112,4515,5512,8607,15364,16243,2037,6026,7795,10432,16036,2909,480,7576,3804,2581,2744,3558,4198,2602,5217,2673,3818,5027,4605
2025-08-02,252187,5636,2342,1626,23120,2538,8362,10357,2245,21955,5295,11942,5363,11025,13835,7995,14416,13891,2991,2545,1850,4255,11071,14696,8321,8069,12100,6568,6777,10049,23081,19644,3073,8953,10897,14289,20814,2879,499,9116,4854,3980,3593,5221,6510,4224,6413,3157,4693,7804,8100
2025-08-03,172856,4658,1731,1212,16643,2006,7475,8395,1756,12649,4146,8006,4383,7450,10099,4935,12265,11272,1926,1759,1482,3099,6681,10074,5711,6464,8787,4715,6384,10441,16481,16958,2063,5815,8355,10181,15371,2338,392,7215,3732,2897,2804,3538,3662,2784,4169,2672,3144,4508,5369
2025-08-04,126041,5470,2135,1411,10824,1619,6791,8500,1861,6506,3372,6965,4567,4548,7357,4285,8098,6504,1877,1495,1396,2386,5606,7011,3932,4292,5383,3072,3990,6420,10741,10149,1385,3083,4773,6674,9790,2417,331,5948,2902,1330,1742,2128,2170,1493,2644,1731,2666,3264,2479
2025-08-05,118395,5521,2005,1532,9668,1018,5782,7952,1885,9017,3682,6636,4998,3894,6952,4001,7658,5523,1599,1058,1285,1865,4352,5974,3175,4093,3587,2652,3102,4448,8503,9854,1213,2984,4264,5956,7961,1863,305,5256,2682,1798,1553,2065,1986,1778,2993,1756,2216,3025,2354
2025-08-06,126525,5960,1967,1554,10511,1585,6811,9190,2156,6180,4034,6864,4731,4637,7512,4373,8098,5812,1860,1365,1370,2022,6027,7270,3610,3958,4784,2821,3874,6569,10147,10540,1643,3208,4764,6855,10513,2420,324,5670,3050,1556,1743,2464,2320,2011,2926,1816,2235,3208,2560
2025-08-07,137528,5858,1922,1469,12132,1648,6567,8988,1982,11004,4025,7629,4478,5474,8382,4327,8419,7229,2121,1435,1352,2318,5908,8146,3952,4538,5837,3107,3581,5782,11268,13620,1854,3645,5874,7213,10599,2469,400,6048,3302,1757,1934,2595,2281,1959,3053,2018,2446,3506,2817
2025-08-08,153391,6625,2161,1596,13272,1719,7833,9940,2376,12440,4294,8426,5589,5940,8622,5168,9208,7925,2147,1639,1563,2439,6223,8713,4372,5295,6517,3765,4170,5554,12360,14477,1881,4118,5594,7762,11324,2689,391,6898,3322,2470,2095,3011,3152,2437,3998,2161,2731,3383,3520
2025-08-09,164957,6304,1907,1398,14964,1614,7272,10145,2053,16181,4164,8755,4045,6148,9696,5224,10299,8313,2068,1661,1455,2587,6808,9979,5629,6910,7968,4360,4772,6093,14006,15250,2190,4601,6969,8891,16032,2393,462,7113,3640,2808,2463,3444,3645,2446,4427,2374,3121,4263,4114
2025-08-10,153827,4352,1635,1096,15062,1230,5916,7513,1533,13503,3591,7757,4236,7009,9254,4293,10084,8399,1693,1678,1413,2657,5661,9483,5088,5983,6852,4078,4247,4858,14231,14936,1829,4500,6317,8950,13809,2244,389,6214,3321,2817,2194,3304,3144,2600,3696,2161,2540,3440,4417
2025-08-11,113614,5166,1782,1343,8947,1180,5660,8476,1733,7590,3373,6198,5113,3742,6908,4079,6657,5123,1619,1160,1240,2406,4442,6065,3296,3880,4685,2824,3030,3541,8491,9134,1411,2799,4349,5846,6114,2173,337,5486,2771,2061,1418,2117,1900,1604,2411,1763,2250,3058,1947
