pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215010900	강원도 강릉시 옥천동	일반	2**	옥천로61번길	일반상업	숙박	12m미만	856.72	368.90	66000	null	200901	24		1989
4215011100	강원도 강릉시 포남동	일반	1***	성덕포남로213번길	제2종일반주거	제2종근린생활	12m미만	124.8	223.30	5516	null	200901	28		1993
4282032029	강원도 고성군 죽왕면 삼포리	집합	2**	삼포해변길	관리	숙박	25m이상	4.24		200	4	200901	15	지분	1992
4282033030	강원도 고성군 토성면 신평리	일반	4**	신평골길	관리	숙박	12m미만	6.23	2.08	500	null	200901	30	지분	1990
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1430	null	200901	5	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	3**	고성대로	관리	숙박	12m미만	7.6	12.10	900	null	200901	5	지분	1998
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	관리	숙박	12m미만	7.98		580	null	200901	6	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1400	null	200901	9	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	3**	고성대로	관리	숙박	12m미만	7.6	12.10	1000	null	200901	9	지분	1998
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1320	null	200901	21	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1000	null	200901	29	지분	1991
4217010700	강원도 동해시 동회동	집합	4**	청운1길	제2종일반주거	기타	25m미만	22.57		2300	null	200901	10		1995
4217010700	강원도 동해시 동회동	집합	4**	청운1길	제2종일반주거	기타	25m미만	26.84		3000	null	200901	10		1995
4217010700	강원도 동해시 동회동	집합	4**	청운1길	제2종일반주거	기타	25m미만	23.18		2500	null	200901	10		1995
4217010700	강원도 동해시 동회동	집합	8*	효자남길	제2종일반주거	제1종근린생활	12m미만	20		5455	4	200901	12		2000
4217010700	강원도 동해시 동회동	집합	8*	효자남길	제2종일반주거	제1종근린생활	12m미만	24		6545	4	200901	12		2000
4217010700	강원도 동해시 동회동	집합	8*	효자남길	제2종일반주거	제1종근린생활	12m미만	24		6545	4	200901	12		2000
4217010700	강원도 동해시 동회동	집합	8*	효자남길	제2종일반주거	제1종근린생활	12m미만	20		5455	4	200901	12		2000
4217010100	강원도 동해시 천곡동	집합	4**	평릉길	일반상업	제2종근린생활	25m이상	72.42		9000	1	200901	9		2005
4217010600	강원도 동해시 효가동	일반	1**	효자로	일반상업	제2종근린생활	25m미만	82.5	511.00	29000	null	200901	5		2007
4223012000	강원도 삼척시 남양동	집합	5*	중앙로	일반상업	제1종근린생활	25m이상	128.96		7000	3	200901	16		1990
4223012000	강원도 삼척시 남양동	집합	5*	진주로	일반상업	제1종근린생활	12m미만	57.82		4500	1	200901	20		1979
4223025034	강원도 삼척시 도계읍 흥전리	집합	3**	도계로	제2종일반주거	제1종근린생활	12m미만	31.5		4500	1	200901	21		2006
4223025326	강원도 삼척시 원덕읍 호산리	일반	2**	삼척로	일반상업	제2종근린생활	8m미만	186.88	402.00	12500	null	200901	30		2008
4221010600	강원도 속초시 교동	일반	9**	먹거리8길	제1종일반주거	제1종근린생활	8m미만	120.06	203.80	13000	null	200901	8		2000
4221010600	강원도 속초시 교동	집합	9**	먹거리1길	제2종일반주거	제2종근린생활	25m미만	36.02		5000	2	200901	8		2005
4221010600	강원도 속초시 교동	집합	9**	먹거리1길	제2종일반주거	제2종근린생활	25m미만	46.5		6000	2	200901	8		2005
4221010600	강원도 속초시 교동	집합	9**	먹거리1길	제2종일반주거	제2종근린생활	25m미만	46.45		6000	2	200901	8		2005
4221010600	강원도 속초시 교동	집합	9**	먹거리1길	제2종일반주거	제2종근린생활	25m미만	58.97		7000	2	200901	8		2005
4221010600	강원도 속초시 교동	일반	9**	밤골6길	제1종일반주거	제1종근린생활	8m미만	195.96	195.90	15000	null	200901	13		1997
4221010400	강원도 속초시 금호동	일반	6**	번영로67번길	제2종일반주거	기타	8m미만	139.86	258.00	5300	null	200901	29		1993
4221010700	강원도 속초시 노학동	집합	7**	사당골길	자연녹지	숙박	8m미만	5.94		1000	6	200901	5	지분	1997
4221010700	강원도 속초시 노학동	집합	7**	이목로	자연녹지	숙박	12m미만	4.55		400	null	200901	7		1992
4221010700	강원도 속초시 노학동	집합	7**	관광로408번길	자연녹지	숙박	12m미만	46.67		300	7	200901	21	지분	1991
4221011300	강원도 속초시 장사동	집합	2*	미시령로2983번길	계획관리	숙박	25m미만	4.28		550	3	200901	12	지분	1982
4221011300	강원도 속초시 장사동	집합	2*	미시령로2983번길	계획관리	숙박	25m미만	4.28		545	5	200901	22	지분	1982
4221011300	강원도 속초시 장사동	집합	2*	미시령로2983번길	계획관리	숙박	25m미만	4.28		545	1	200901	22	지분	1982
4221011300	강원도 속초시 장사동	집합	2*	미시령로2983번길	계획관리	숙박	25m미만	4.28		510	5	200901	29	지분	1982
4221010800	강원도 속초시 조양동	일반	1***	청호로1길	일반상업	숙박	8m미만	936.88	479.00	69000	null	200901	15		1997
4221010300	강원도 속초시 중앙동	집합	4**	중앙로147번길	일반상업	제1종근린생활	8m미만	15		2200	-1	200901	5		1990
4221010300	강원도 속초시 중앙동	집합	4**	중앙로147번길	일반상업	제1종근린생활	8m미만	22.8		9700	1	200901	29		1990
4221010300	강원도 속초시 중앙동	집합	4**	중앙로147번길	일반상업	제1종근린생활	8m미만	12.87		1200	-1	200901	31		1990
4221010900	강원도 속초시 청호동	일반	4**	청호로	제1종일반주거	제1종근린생활	12m미만	279.01	288.00	25300	null	200901	20		1998
4283032026	강원도 양양군 손양면 삽존리	일반	1**	상촌로	관리	제1종근린생활	8m미만	131.58	1500.00	5490	null	200901	20		2001
4275025021	강원도 영월군 영월읍 영흥리	집합	9**	단종로9번길	일반상업	제2종근린생활	12m미만	254.94		2937	null	200901	22		1994
4275031025	강원도 영월군 중동면 연상리	일반	*	영월로	관리	제1종근린생활	12m미만	40.93	125.00	1000	null	200901	30		null
4213010500	강원도 원주시 개운동	집합	4**	서원대로	제2종일반주거	제1종근린생활	25m이상	46.8		15000	1	200901	21		2008
4213011000	강원도 원주시 단계동	집합	8**	봉화로	제2종일반주거	제1종근린생활	25m이상	34.56		2700	1	200901	14		null
4213010700	강원도 원주시 단구동	집합	1***	서원대로	일반상업	제1종근린생활	25m이상	149.85		25800	6	200901	4		2007
4213010700	강원도 원주시 단구동	집합	1***	서원대로	일반상업	제1종근린생활	25m이상	81.9		14200	6	200901	4		2007
4213010700	강원도 원주시 단구동	집합	1***	서원대로	준주거	판매	25m미만	46		23000	1	200901	22		2003
4213025026	강원도 원주시 문막읍 건등리	집합	1***	건등로	제3종일반주거	제1종근린생활	25m미만	26.46		3800	1	200901	16		null
4213011700	강원도 원주시 반곡동	집합	1***	늘품로	제3종일반주거	제1종근린생활	25m미만	18.55		12500	null	200901	15		2008
4213011300	강원도 원주시 봉산동	집합	1***	행구로	제2종일반주거	제1종근린생활	25m미만	23.4		4900	1	200901	6		1995
4213011300	강원도 원주시 봉산동	일반	1*	-	관리	기타	-	196.8	987.00	6130	null	200901	13		2001
4213011300	강원도 원주시 봉산동	일반	1*	살대울모래기길	관리	기타	8m미만	389.94	1569.00	18903	null	200901	13		1999
4213033026	강원도 원주시 지정면 월송리	집합	1***	-	관리	숙박	12m미만	13.49		5500	1	200901	30	지분	2001
4213010200	강원도 원주시 평원동	일반	3**	평원안길	일반상업	제2종근린생활	8m미만	490.54	157.70	24600	null	200901	31		1994
4213010900	강원도 원주시 학성동	일반	3**	평원로	일반상업	제1종근린생활	25m미만	23.93	24.40	3300	null	200901	30		1980
4213011400	강원도 원주시 행구동	일반	5**	운곡로	관리	제1종근린생활	12m미만	408.42	548.00	37000	null	200901	29		1993
4281032021	강원도 인제군 북면 원통리	일반	7**	원통로168번길	일반상업	제2종근린생활	8m미만	311.52	139.00	10170	null	200901	7		1998
4278025921	강원도 철원군 동송읍 이평리	일반	8**	이평로	제2종일반주거	제2종근린생활	12m미만	300.87	449.00	24500	null	200901	6		2000
4278025921	강원도 철원군 동송읍 이평리	일반	7**	금학로	제2종일반주거	제2종근린생활	25m미만	382.3	644.00	33000	null	200901	8		2000
4211040028	강원도 춘천시 남산면 서천리	일반	5**	서천길	관리	제2종근린생활	8m미만	94.08	361.00	14500	null	200901	26		1976
4211012400	강원도 춘천시 석사동	집합	8**	퇴계농공로	준주거	교육연구	25m이상	165.75		19538	5	200901	5		2004
4211012400	강원도 춘천시 석사동	집합	8**	퇴계농공로	준주거	제2종근린생활	25m이상	173.4		28613	2	200901	5		2004
4211012400	강원도 춘천시 석사동	집합	8**	퇴계농공로	준주거	교육연구	25m이상	165.75		19538	5	200901	5		2004
4211012400	강원도 춘천시 석사동	집합	8**	퇴계농공로	준주거	교육연구	25m이상	122.4		14428	5	200901	5		2004
4211012400	강원도 춘천시 석사동	집합	8**	퇴계농공로	준주거	교육연구	25m이상	100.98		11903	5	200901	5		2004
4211012400	강원도 춘천시 석사동	집합	8**	지석로	제2종일반주거	제2종근린생활	25m미만	26.33		5425	2	200901	16		2005
4211012400	강원도 춘천시 석사동	일반	6**	후석로45번길	제2종일반주거	제2종근린생활	12m미만	399.55	203.20	30000	null	200901	21		1994
